,入口站,货物/农机具名称,总重量,总次数
266,山东省山东东明北站,丝瓜,943.39,96
188,河南省河南滑县,丝瓜,1210.17,161
58,广西壮族自治区广西全州站,冬瓜,2669.31,55
105,河北省河北清苑站,冬瓜,1851.65,123
94,广西壮族自治区广西上林站,冬瓜,1980.54,41
145,广西壮族自治区广西黄沙河,冬瓜,1489.12,31
45,广西壮族自治区广西坛洛站,冬瓜,3351.78,70
243,湖南省湖南君山站,南瓜,1021.79,54
84,广西壮族自治区广西全州站,南瓜,2185.33,48
49,广西壮族自治区广西坛洛站,南瓜,3237.52,70
211,广西壮族自治区广西黄沙河,南瓜,1127.5,26
206,湖北省湖北潘家湾站,南瓜,1141.39,46
273,宁夏回族自治区宁夏甘塘收费站,哈密瓜,930.15,25
209,山东省山东昌乐站,哈密瓜,1133.08,66
287,甘肃省甘肃武威南收费站,哈密瓜,896.54,24
0,甘肃省甘肃柳园北收费站,哈密瓜,19564.8,426
78,甘肃省甘肃关子收费站,四季豆,2268.97,85
295,河北省河北郭磊庄站,大白菜,883.91,30
218,甘肃省甘肃关子收费站,大白菜,1095.39,37
202,河北省河北沽源西站,大白菜,1158.29,53
10,河北省河北张北北站,大白菜,6159.41,209
61,河北省河北察北站,大白菜,2620.28,142
29,河北省河北张北南站,大白菜,4490.88,162
111,山西省山西长治南站,大白菜,1805.11,158
120,河北省河北半拉山站,大白菜,1725.34,90
95,河北省河北郝家营站,大白菜,1956.47,107
115,山西省山西上党站,大白菜,1763.13,150
237,山东省山东阳河站,大葱,1028.12,35
238,山东省山东何官站,大葱,1027.6,33
226,山东省山东沂山站,大葱,1066.34,43
32,山东省山东临淄东站,大葱,3926.56,151
47,河北省河北大名北站,大蒜,3329.2,198
83,河南省河南卫辉,大蒜,2188.74,196
55,河南省河南慈周寨,大蒜,2919.51,242
88,江苏省江苏八义集站,大蒜,2098.63,52
56,河南省河南尉氏,大蒜,2855.86,212
73,河南省河南通许,大蒜,2455.96,218
138,河南省河南原阳,大蒜,1521.64,150
64,山东省山东菏泽南站,大蒜,2558.76,129
229,河南省河南通许南,大蒜,1053.86,92
96,河南省河南平原新区东站,大蒜,1955.37,202
193,河南省河南兰考,大蒜,1195.87,64
89,河南省河南滑县牛屯,大蒜,2051.54,166
255,河南省河南滑县,大蒜,965.66,76
79,河南省河南荥阳,大蒜,2266.9,203
50,河南省河南封丘,大蒜,3227.41,308
161,河南省河南长垣,大蒜,1385.38,123
13,河北省河北金滩镇站,大蒜,5685.87,347
20,河南省河南通许东,大蒜,5048.84,316
288,河南省河南延津,大蒜,892.68,78
37,河南省河南杞县,大蒜,3629.65,239
110,河南省河南临颍站,大蒜,1812.52,146
36,河南省河南开封陈留,大蒜,3677.42,307
51,河北省河北木门店站,"新鲜的家禽肉
和家畜肉",3174.33,334
131,河南省河南浚县西,"新鲜的家禽肉
和家畜肉",1596.69,65
186,河南省河南慈周寨,新鲜的鸡蛋,1233.08,147
114,河南省河南鹤壁南,新鲜的鸡蛋,1794.59,179
93,河南省河南濮阳南,新鲜的鸡蛋,2018.86,146
147,河南省河南堌阳,新鲜的鸡蛋,1471.25,158
75,云南省云南大营站,普通白菜,2360.01,53
46,河南省河南民权,普通白菜,3334.12,395
60,湖北省湖北武昌站,木瓜,2643.62,90
232,河南省河南晁陂,李,1045.02,84
264,河南省河南丹水,李,949.98,75
28,河南省河南内乡,李,4593.01,367
205,甘肃省甘肃柳园北收费站,杏,1142.67,39
194,山西省山西临猗西站,枣,1183.56,135
285,福建省福建平和三平站,柚,901.25,32
53,四川省四川内遂安岳站,柠檬,3035.74,89
216,河南省河南三门峡西,桃,1099.22,54
159,山西省山西芮城东站,桃,1394.03,73
169,河南省河南商丘新区北站,桃,1331.42,82
219,河南省河南新乡经开区,桃,1081.32,242
34,安徽省安徽砀山站,桃,3859.41,272
101,河南省河南三门峡东,桃,1913.42,138
77,安徽省安徽砀山北站,桃,2273.97,141
106,山东省山东平邑站,桃,1842.37,161
183,云南省云南弥勒南站,桔,1244.11,64
86,河北省河北栾城东站,梨,2166.66,150
241,河南省河南三门峡东,梨,1024.75,59
12,安徽省安徽砀山站,梨,5829.2,295
203,河南省河南三门峡西,梨,1154.46,55
44,甘肃省甘肃柳园北收费站,梨,3452.9,86
179,河北省河北赵县站,梨,1256.8,83
109,安徽省安徽砀山北站,梨,1814.44,95
277,广东省广东徐城站,椰子,919.0,31
66,上海市上海江桥站,橙,2543.53,79
192,上海市上海大叶公路站莘奉金,橙,1197.14,39
43,广东省广东庆丰站,橙,3550.51,88
116,四川省四川成绵复彭州站,毛豆,1741.18,57
207,四川省四川二绕东大同站,毛豆,1141.27,34
76,江苏省江苏邳州东站,毛豆,2352.69,131
228,湖北省湖北北河站,毛豆,1056.27,66
71,河南省河南通许,洋葱,2477.09,228
26,广西壮族自治区广西那桐站,火龙果,4684.48,151
286,广西壮族自治区广西隆安站,火龙果,900.1,30
11,云南省云南大营站,火龙果,6128.26,152
200,广西壮族自治区广西东兴站,火龙果,1160.22,27
210,广东省广东前海站,火龙果,1131.38,27
214,广西壮族自治区广西龙州站,火龙果,1103.44,34
2,云南省云南河口站,火龙果,13773.45,326
9,广东省广东徐城站,火龙果,6162.47,203
140,广西壮族自治区广西坛洛站,火龙果,1503.73,51
156,云南省云南文山东站,火龙果,1421.12,35
221,广西壮族自治区广西武鸣站,火龙果,1080.63,34
223,云南省云南呈贡北站,火龙果,1070.74,25
3,广西壮族自治区广西凭祥站,火龙果,12205.44,274
72,广东省广东洋青站,火龙果,2476.33,83
142,广东省广东麻章站,火龙果,1497.76,50
141,广西壮族自治区广西武鸣东,火龙果,1502.08,51
267,广西壮族自治区广西宾阳站,火龙果,940.1,26
157,福建省福建漳浦站,甘薯,1409.21,55
130,河南省河南南苑,甘薯,1613.23,147
152,广东省广东沙坡站,甘薯,1434.3,32
174,云南省云南呈贡北站,甘薯,1295.34,27
244,河南省河南民权,甘薯,1020.27,84
175,广西壮族自治区广西全州站,甘薯,1274.12,28
119,广东省广东城月站,甘薯,1736.55,44
263,广东省广东隆江站,甘薯,954.47,34
265,河南省河南通许,甘薯,946.44,73
280,广东省广东雷州站,甘薯,913.51,25
17,广东省广东洋青站,甘薯,5085.05,118
42,云南省云南大营站,甘薯,3554.9,75
118,广东省广东麻章站,甘薯,1740.96,47
292,河南省河南内黄,甜瓜,889.89,96
68,山东省山东魏庄站,甜瓜,2511.92,187
166,河南省河南浚县东,甜瓜,1359.25,167
74,河南省河南滑县,甜瓜,2375.38,283
272,河北省河北木门店站,甜瓜,930.28,85
258,河南省河南三门峡西,甜瓜,963.38,45
65,山东省山东张寨北站,甜瓜,2548.28,176
293,河南省河南南乐东,甜瓜,889.4,79
279,山东省山东诸城西站,生姜,913.94,28
33,山东省山东安丘南站,生姜,3884.59,92
129,云南省云南越州站,生菜,1615.58,37
234,河北省河北张北南站,生菜,1038.04,62
21,云南省云南大营站,生菜,5009.14,113
155,云南省云南昆明北站,生菜,1423.98,31
63,云南省云南呈贡北站,生菜,2574.4,57
7,云南省云南陆良北站,生菜,6573.03,146
70,云南省云南羊街站,生菜,2483.36,54
146,云南省云南陆良南站,生菜,1476.0,34
113,山西省山西榆次站,结球甘蓝,1801.27,130
137,河北省河北吕营站,结球甘蓝,1541.76,115
281,山西省山西长治西站,结球甘蓝,912.06,60
148,山西省山西长治南站,结球甘蓝,1465.85,93
297,河北省河北围场北主线站(省界)(停,胡萝卜,881.21,20
177,河南省河南禹州南,胡萝卜,1268.34,89
144,河南省河南郏县,胡萝卜,1494.92,82
178,山东省山东仁兆站,胡萝卜,1260.22,30
242,山东省山东大王站,胡萝卜,1023.75,35
163,山东省山东院上站,胡萝卜,1375.56,39
16,山东省山东灵山站,胡萝卜,5153.73,167
23,山东省山东长直站,胡萝卜,4809.6,154
213,云南省云南嵩明西站,芒果,1107.46,28
57,四川省四川西攀撒莲站,芒果,2832.86,76
22,云南省云南昆明北站,芒果,4983.17,159
199,云南省云南大营站,芒果,1162.69,57
187,广西壮族自治区广西全州站,芒果,1230.8,29
14,广西壮族自治区广西田阳站,芒果,5490.58,167
278,甘肃省甘肃定远收费站,芹菜,916.6,36
253,宁夏回族自治区宁夏固原北收费站,芹菜,979.53,38
190,山东省山东莘县站,芹菜,1205.58,105
250,宁夏回族自治区宁夏海兴东收费站,芹菜,990.72,35
150,宁夏回族自治区宁夏银川北匝道收,芹菜,1445.37,60
212,宁夏回族自治区宁夏隆德收费站,芹菜,1108.74,40
35,山东省山东蓬莱东站,苹果,3833.6,129
294,山西省山西临猗西站,苹果,887.72,68
197,山东省山东蓬莱西站,苹果,1173.35,47
251,甘肃省甘肃柳园北收费站,苹果,984.62,24
92,甘肃省甘肃天水东收费站,苹果,2021.37,122
180,山东省山东聊城南站,茄子,1255.72,93
69,河南省河南濮阳南,茄子,2499.78,241
40,云南省云南河口站,荔枝,3566.84,77
6,广西壮族自治区广西凭祥站,荔枝,7917.75,183
252,广东省广东织篢站,荔枝,980.7,39
271,广东省广东根子站,荔枝,933.93,31
291,广东省广东葵潭站,荔枝,889.96,36
224,广东省广东新墟站,荔枝,1070.12,45
173,广东省广东分界北站,荔枝,1296.23,43
5,广西壮族自治区广西柳江站,莲藕,8005.96,351
276,湖北省湖北孝感东站,莲藕,923.15,87
91,云南省云南竹园站,莲藕,2041.12,112
176,甘肃省甘肃甘草店收费站,菜花,1272.56,51
248,甘肃省甘肃定西收费站,菜花,1010.2,63
126,甘肃省甘肃定远收费站,菜花,1661.05,54
128,甘肃省甘肃关子收费站,菜花,1640.15,71
256,河北省河北沽源站,菜花,964.83,37
231,甘肃省甘肃河口收费站,菜花,1045.22,64
97,甘肃省甘肃三角城收费站,菜花,1952.11,92
181,河北省河北沽源西站,菜花,1246.61,41
283,甘肃省甘肃巉口收费站,菜花,907.97,36
167,河北省河北张北北站,萝卜,1356.57,39
296,河南省河南清丰,萝卜,882.36,67
275,河南省河南民权,葡萄,924.05,207
268,山东省山东聊城南站,葡萄,938.61,99
225,云南省云南周家村站,葡萄,1070.1,28
245,甘肃省甘肃柳园北收费站,葡萄,1019.1,34
298,河南省河南宁陵,葡萄,880.32,168
127,浙江省浙江慈溪站,葡萄,1650.46,153
54,河北省河北深州站,葡萄,2968.6,266
82,浙江省浙江温岭北站,葡萄,2195.04,186
198,云南省云南元谋站,葡萄,1167.74,39
172,陕西省陕西罗敷收费站,葡萄,1309.04,101
4,云南省云南昆明北站,葡萄,8515.41,272
104,河北省河北饶阳站,葡萄,1871.83,158
103,山东省山东菏泽南站,葡萄,1879.97,245
233,江苏省江苏灌南站,蘑菇,1042.77,54
230,河南省河南商丘新区北站,蘑菇,1047.54,41
191,江苏省江苏海安站,虾类,1199.93,77
246,北京市北京西红门站,西兰花,1016.5,48
15,河北省河北沽源西站,西兰花,5210.15,158
153,宁夏回族自治区宁夏银川北匝道收,西兰花,1431.63,57
102,河北省河北张北北站,西兰花,1889.36,62
160,河北省河北沽源站,西兰花,1391.59,44
165,甘肃省甘肃定远收费站,西兰花,1367.71,45
62,河北省河北张北南站,西兰花,2610.18,85
261,陕西省陕西法门寺收费站,西瓜,961.75,40
235,陕西省陕西凤翔收费站,西瓜,1032.94,35
240,河南省河南通许,西瓜,1025.8,152
59,江苏省江苏海丰站,西瓜,2662.68,93
123,河南省河南尉氏,西瓜,1685.84,291
289,辽宁省辽宁金五台站,西瓜,892.64,21
247,河南省河南永城北,西瓜,1013.48,64
184,河南省河南夏邑,西瓜,1239.34,99
85,湖北省湖北潘家湾站,西瓜,2176.27,189
170,河南省河南南苑,西瓜,1324.97,290
239,甘肃省甘肃柳园北收费站,西瓜,1026.55,22
254,河南省河南通许南,西瓜,978.6,184
48,湖北省湖北金口站,西瓜,3302.01,283
262,宁夏回族自治区宁夏灵武东收费站,西红柿,961.57,37
270,宁夏回族自治区宁夏银川北匝道收,西红柿,935.84,50
107,河南省河南滑县,西红柿,1836.31,160
90,宁夏回族自治区宁夏贺兰收费站,西红柿,2046.36,66
182,河南省河南慈周寨,西红柿,1244.4,116
249,甘肃省甘肃定西收费站,西葫芦,998.46,31
227,山西省山西乔家大院站,西葫芦,1060.34,60
154,山西省山西祁县站,西葫芦,1428.74,88
196,河南省河南荥阳,豆芽,1176.06,193
125,河南省河南轩辕丘,豆芽,1665.48,231
158,山东省山东张寨北站,豇豆,1401.51,102
8,辽宁省辽宁东港站,贝类,6170.58,172
185,辽宁省辽宁大孤山站,贝类,1236.79,34
25,陕西省陕西安边收费站,辣椒,4746.49,285
164,山东省山东青州西站,辣椒,1372.61,88
124,山东省山东寿光站,辣椒,1677.67,134
220,云南省云南建水站,辣椒,1080.9,47
27,山东省山东何官站,辣椒,4666.83,292
136,湖北省湖北东西湖站,金针菇,1554.77,65
189,山东省山东邹城站,金针菇,1206.8,55
201,河南省河南云台山,金针菇,1159.2,55
274,山东省山东武城东站,金针菇,925.63,77
19,山东省山东何官站,青椒,5049.9,273
222,陕西省陕西安边收费站,青椒,1080.18,65
162,山东省山东寿光站,青椒,1380.17,70
100,山东省山东青州西站,青椒,1929.44,110
133,河北省河北邺城站,韭菜,1589.05,164
215,河南省河南柏庄,韭菜,1101.78,116
260,云南省云南大营站,香葱,962.26,22
31,云南省云南大营站,香蕉,3976.55,86
195,云南省云南呈贡北站,香蕉,1179.9,25
284,云南省云南昆明北站,香蕉,906.96,20
24,广东省广东徐城站,香蕉,4768.54,149
257,广东省广东洋青站,香蕉,964.18,28
217,广东省广东沙坡站,香蕉,1096.44,32
132,广东省广东麻章站,香蕉,1591.24,47
52,辽宁省辽宁南票站,马铃薯,3051.14,89
208,辽宁省辽宁绥中站,马铃薯,1138.34,29
108,山东省山东仁兆站,马铃薯,1822.25,87
81,河南省河南通许,马铃薯,2217.23,208
39,山东省山东滕州站,马铃薯,3589.25,217
135,辽宁省辽宁凌海站,马铃薯,1568.28,36
121,辽宁省辽宁东戴河站,马铃薯,1722.4,46
99,辽宁省辽宁光辉站,马铃薯,1936.53,47
282,河南省河南文化路,鱼类,909.2,48
1,湖南省湖南万家丽北站,鱼类,15413.62,504
41,河南省河南驻马店南,鱼类,3555.57,122
18,广东省广东沙头站,鱼类,5070.42,150
30,湖北省湖北大沙湖站,鱼类,4369.62,189
112,湖北省湖北武汉北站,鱼类,1803.96,80
80,河南省河南广武,鱼类,2247.62,135
204,河南省河南平原新区东站,鱼类,1149.08,83
171,河南省河南郑州柳林,鱼类,1314.61,78
151,辽宁省辽宁营口北站,鱼类,1438.32,37
143,河南省河南民权,鱼类,1495.51,79
139,河南省河南东三环北站,鱼类,1511.74,88
67,河南省河南荥阳,鱼类,2528.12,154
134,广东省广东睦洲站,鱼类,1588.82,46
117,河南省河南开封杜良,鱼类,1741.06,94
87,河南省河南惠济,鱼类,2141.36,117
269,河北省河北邯郸西站,鱼类,936.33,81
122,河南省河南信阳,鱼类,1700.71,47
149,江苏省江苏吴江南站,鱼类,1445.96,56
168,云南省云南土林站,鲜玉米,1346.5,30
38,云南省云南昆明北站,鲜玉米,3592.4,78
259,广东省广东麻章站,鲜花生,962.44,25
98,河南省河南开封陈留,鲜花生,1945.28,372
236,河北省河北栾城东站,黄瓜,1028.96,77
290,云南省云南大营站,龙眼,890.48,19
